code,num
C1072,792.9484
C1128,1382.6165
C1456,553.1874
C1840,634.97125
C1332,1273.3949
C1563,2045.6592
C1794,1049.2021
C1640,528.972
C1377,410.50076
C2072,203.88853
C1472,352.51984
C1006,286.3901
C1083,356.0101
C1311,308.71194
C2676,431.11188
C2318,207.85283
C1603,388.8924
C2523,239.6529
C2177,127.65602
C2411,699.2423
C2033,329.89404
C1604,434.08
C2535,508.96692
C1040,352.58264
C2417,444.70923
C1812,130.11642
C2253,190.01643
C1294,551.8306
C1772,492.87805
C2646,548.52985
C1152,910.9479
C2423,152.03546
C1844,404.73578
C1318,177.75172
C1729,116.297874
C1602,295.0249
C1239,362.97208
C1721,672.8167
C1902,859.4008
C1855,356.12848
C2600,417.2453
C1071,584.35925
C2295,485.37152
C1621,621.4876
C1852,891.69257
C2555,1113.7345
C1297,530.90356
C2323,607.9996
C2215,345.3524
C2112,429.47348
C1830,894.9643
C2602,217.05836
C2608,1234.0725
C1215,621.8478
C2369,588.45044
C1158,272.66946
C1887,536.5436
C1189,311.7115
C1637,531.68243
C1225,162.17438
C2374,389.4633
C2397,611.54004
C1105,794.804
C1782,449.57556
C1629,76.41213
C1708,291.07483
C2144,533.21466
C1617,784.9655
C1149,512.90295
C1323,441.79492
C1064,650.82715
C1019,277.55954
C2269,593.91144
C1416,848.93164
C1250,942.1764
C1741,420.27
C1016,649.8857
C2675,943.2238
C2436,763.469
C2039,768.9006
C1253,985.9297
C2028,1212.8324
C1166,337.81387
C1135,260.9598
C1216,290.3759
C1593,243.72038
C1826,150.37679
C1827,404.75064
C1564,271.3604
C1495,979.9176
C2653,929.50653
C1392,588.6028
C2128,262.9483
C1282,625.85547
C1521,1121.3423
C2076,1137.9436
C1060,628.7793
C2473,1188.336
C2557,919.7713
C1835,859.31146
C2224,823.3225
C2222,405.58066
C2430,877.0117
C2497,669.3633
C1494,1254.5516
C1457,502.69254
C1525,1165.8271
C1712,616.0049
C2267,912.72766
C1623,264.2197
C2131,565.5093
C2691,1186.1097
C1147,793.8257
C1692,906.2438
C1570,816.299
C1474,92.15691
C1633,167.54715
C2113,590.70337
C2175,855.4292
C2303,1565.7928
C2547,594.8435
C2292,816.5606
C1496,753.4242
C1289,463.82132
C1849,754.8803
C1003,333.9125
C2268,413.5557
C2551,635.6148
C2688,118.5459
C1030,45.200172
C1327,107.27799
C2451,557.9884
C1749,615.37775
C1349,334.70526
C2043,334.89258
C1229,332.40616
C2363,483.1233
C1414,460.96304
C2174,515.2513
C2091,132.4973
C2335,326.9508
C1841,77.8346
C2404,153.64195
C1683,257.87146
C1038,324.30362
C2456,220.2059
C1266,451.01465
C2152,44.18242
C1267,442.91675
C2189,199.404
